Application_Deadline,Degree,Duration,Instruction_Language,Program,Starting_Date,University,uition_Fee_RMB
5-31,Bachelor,4years,Chinese,Public Finance,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Taxation,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Public Administration,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Public Affairs Administration,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Finance,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,International Economics and Trade,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Financial Engineering,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,International Trade / Risk Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Accounting,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,CPA,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Financial Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Business Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Marketing,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Human Resources Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Economics,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Statistics,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,National Economic Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Information Management and Information Systems,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,E-Commerce,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Management Science,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Computer Science and Technology,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Logistic Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Law,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Chinese Literature,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Culture Industry Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Journalism,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Advertising,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Project Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Real Estate Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Investment,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Construction Management,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Insurance,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Actuarial Science,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Labor and Social Security,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,English,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Japanese,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Sociology,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Applied Psychology,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,International Politics,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Pure Mathematics and Applied Mathematics,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Sports Economics,Sep,Central University of Finance and Economics,22000
5-31,Bachelor,4years,Chinese,Mathematical Economics and Finance,Sep,Central University of Finance and Economics,22000
5-31,Master,2years,Chinese,Logic,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Political Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,History of Economic Thought,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,History of Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Western Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,World Economy,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Population Resources and Environment Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,National Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Regional Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Public Finance,Sep,Central University of Finance and Economics,26000
5-31,Master,3years,Chinese,Finance,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Industrial Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,International Trade,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Labor Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Statistics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Econometrics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,National Defense Economics,Sep,Central University of Finance and Economics,26000
5-31,Master,2years,Chinese,Investment,Sep,Central University of Finance and Economics,26000
